VersionIndex,VersionName,MethodFQN,LOC,NumParameters,NumBranches,NestingDepth,NumCodeSmells,NumLocalVariables,NumRevisions,NumAuthors,TotalStmtAdded,TotalStmtDeleted,MaxChurn,AvgChurn,HasFixHistory,Buggy,BodyHash
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/Bookie$NoLedgerException#getLedgerId(),3,0,0,0,0,0,0,0,0,0,0,0.0,0,no,16c725c186d3469e397e250a93a50e40d70549130d51b39cef16f34488e0919e
1,4.0.0,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/Bookie$QueueEntry#<init>(ByteBuffer,long,long,WriteCallback,Object)",7,5,0,0,0,0,0,0,0,0,0,0.0,0,no,c7bd896f7c30dcb99af4c7ceb4f479894d8093faf2e5ef7f994ce53c8c7445de
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/Bookie$SyncThread#<init>(ServerConfiguration),7,1,1,1,0,0,1,1,7,0,7,7.0,0,no,0a629e2e8406643ef3191e4203a91bf8c2d8e392b3e85225e794f82314eaad3e
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/Bookie$SyncThread#run(),52,0,10,4,1,5,3,2,27,2,25,9.666666666666666,0,no,a8e8d9c28910869c7a8bad0ac58299bf6e1b2057ec1cbe5628ec348210ec0ec0
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/Bookie$SyncThread#shutdown(),7,0,1,1,0,0,1,1,7,0,7,7.0,0,no,f39d79d95ec19ad882f66703c1ec5547b2d563306e6600ce506143e0e7c0c819
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/Bookie$SyncThread$<anon:JournalIdFilter@arg1>#accept(long),7,1,1,1,0,0,1,1,7,0,7,7.0,0,no,7f496b5c68c3a85d6e6dd8ea64d046863883016f991aa8aa44ed4016f9505873
1,4.0.0,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java/BufferedChannel#<init>(FileChannel,int)",6,2,0,0,0,0,0,0,0,0,0,0.0,0,no,887caa945064bc9a0f36803f010b192d0ff070471303f3c935dcabc18be01b92
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java/BufferedChannel#flush(boolean),14,1,2,1,0,0,0,0,0,0,0,0.0,0,no,e5eea8f7b61eb3d45a34916aa5e9c956784d74cb30aa4a46603af4c2bf6fe091
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java/BufferedChannel#getFileChannel(),3,0,0,0,0,0,1,1,3,0,3,3.0,0,no,49677f17d751685f76f9538081ddee8348ef63bcd85966a66360615cbcea680d
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java/BufferedChannel#position(),3,0,0,0,0,0,0,0,0,0,0,0.0,0,no,a73db267620332c7b0972a3e78910eef13de24638c7ad5f3b7b733b3cebb788d
1,4.0.0,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java/BufferedChannel#read(ByteBuffer,long)",54,2,12,6,0,7,1,1,2,0,2,2.0,0,no,e5d1f8c49526a256158b34f5ce0f3aa90ffa36d098b67c93b2938eb72519706a
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java/BufferedChannel#size(),3,0,0,0,0,0,0,0,0,0,0,0.0,0,no,66fe263459b5c57a0b3235f973be0b5fb216ce2771984d3b1e59ecb74cd9af09
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java/BufferedChannel#write(ByteBuffer),24,1,4,2,0,2,0,0,0,0,0,0.0,0,no,ee8bb78b1d3b74fea694ba12195bcb7c1124af9e426099bc71adaf749ae1ebb9
1,4.0.0,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java/EntryLogger#<init>(ServerConfiguration,Bookie)",15,2,2,2,0,2,1,1,15,0,15,15.0,0,no,99e28852e390de5546f148d2318fd84ae4af0366e5ee7e5efe9fe389e6b844d4
1,4.0.0,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java/EntryLogger#addEntry(long,ByteBuffer)",13,2,1,1,0,2,1,1,1,1,2,2.0,0,no,b7f5b90ea5fcf1ee48fa795fb24d3d8d99808731f4de3e6e04a62dddc3b6fff1
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java/EntryLogger#createLogId(long),15,1,2,1,0,3,0,0,0,0,0,0.0,0,no,5c57a0349bdf7caeb62d5723dae421f6e085d46b021b43cd28764b7efe1ae2be
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java/EntryLogger#extractLedgersFromEntryLogs(),49,0,9,4,5,10,1,1,4,0,4,4.0,0,no,b95d9af7053f039b7a0b98e070085423367f2516d7f6aa92b4da85a718796fc0
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java/EntryLogger#findFile(long),9,1,2,2,0,2,0,0,0,0,0,0.0,0,no,7dc8ab924b85f0c85eaca2745cb22a2deaa13aafb6e1808c87d21df1b4096b46
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java/EntryLogger#flush(),5,0,1,1,0,0,0,0,0,0,0,0.0,0,no,bc6852871d8f23277f6d69d5fc923942d76634a3ad722202a44b044c5aee2c99
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java/EntryLogger#getChannelForLogId(long),19,1,2,1,1,3,0,0,0,0,0,0.0,0,no,4b2cd6404df85533738cce0df15eb1b13e1c66332557e9ffbb0a3c4391433709
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java/EntryLogger#getLastLogId(File),22,1,4,2,3,3,0,0,0,0,0,0.0,0,yes,bc4f7336e061783c7123aaad78b3ca60064dd51fc7b97fb15948a840ae41cf91
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java/EntryLogger#openNewChannel(),3,0,0,0,0,0,0,0,0,0,0,0.0,0,no,ac5c38e2bafdfa9155b059bfc3bd5f2152a4c8eb0faa0d8037bd290cd4ed90c1
