Key,CreationDate,ResolutionDate,OpeningVersionIndex,OpeningVersionName,FixedVersionIndex,FixedVersionName,InjectedVersionIndex,InjectedVersionName,AffectedVersionIndices,AffectedVersionNames,NumAssociatedCommits
STORM-3090,2018-05-30,2018-07-09,24,1.1.3,26,2.0.0,16,1.1.0,16|17|25,1.1.0|1.0.4|1.2.2,0
STORM-3082,2018-05-23,2018-07-09,24,1.1.3,26,2.0.0,23,1.2.1,23|24|26,1.2.1|1.1.3|2.0.0,3
STORM-3047,2018-04-28,2018-07-09,24,1.1.3,26,2.0.0,22,1.1.2,22|23,1.1.2|1.2.1,0
STORM-3046,2018-04-27,2018-07-09,24,1.1.3,26,2.0.0,23,1.2.1,23,1.2.1,3
STORM-3028,2018-04-12,2018-07-09,24,1.1.3,26,2.0.0,23,1.2.1,23,1.2.1,5
STORM-3013,2018-03-28,2018-07-09,24,1.1.3,26,2.0.0,23,1.2.1,23|26,1.2.1|2.0.0,3
STORM-3143,2018-07-05,2018-07-10,26,2.0.0,26,2.0.0,26,2.0.0,26,2.0.0,3
STORM-3137,2018-06-29,2018-07-10,26,2.0.0,26,2.0.0,26,2.0.0,26,2.0.0,4
STORM-3136,2018-06-29,2018-07-10,26,2.0.0,26,2.0.0,26,2.0.0,26,2.0.0,3
STORM-3135,2018-06-29,2018-07-10,26,2.0.0,26,2.0.0,26,2.0.0,26,2.0.0,4
STORM-3056,2018-05-03,2018-07-10,24,1.1.3,26,2.0.0,22,1.1.2,22|23,1.1.2|1.2.1,2
STORM-3141,2018-07-02,2018-07-12,26,2.0.0,26,2.0.0,26,2.0.0,26,2.0.0,4
STORM-3148,2018-07-12,2018-07-13,26,2.0.0,26,2.0.0,26,2.0.0,26,2.0.0,6
STORM-3159,2018-07-24,2018-07-24,26,2.0.0,26,2.0.0,26,2.0.0,26,2.0.0,2
STORM-3161,2018-07-27,2018-07-29,26,2.0.0,26,2.0.0,26,2.0.0,26|27,2.0.0|1.2.3,3
STORM-3158,2018-07-20,2018-07-29,26,2.0.0,26,2.0.0,26,2.0.0,26,2.0.0,2
STORM-3164,2018-07-29,2018-07-30,26,2.0.0,26,2.0.0,25,1.2.2,25,1.2.2,3
STORM-3176,2018-08-03,2018-08-03,26,2.0.0,26,2.0.0,22,1.1.2,22,1.1.2,0
STORM-3170,2018-08-01,2018-08-03,26,2.0.0,26,2.0.0,26,2.0.0,26,2.0.0,4
STORM-3169,2018-08-01,2018-08-03,26,2.0.0,26,2.0.0,26,2.0.0,26,2.0.0,3
