LOC,NumParameters,NumBranches,NestingDepth,NumCodeSmells,NumLocalVariables,NumRevisions,NumAuthors,TotalStmtAdded,TotalStmtDeleted,MaxChurn,AvgChurn,HasFixHistory,Buggy
0.05036,0.181818,0.007284,0.055556,0,0,0.041667,0.2,0.05,0,0.057851,0.057851,0,no
0.136691,0.181818,0.021852,0.111111,0,0.097561,0.083333,0.4,0.142857,0.010309,0.157025,0.086777,0,no
0.107914,0.090909,0.014568,0.111111,0,0.073171,0.041667,0.2,0.107143,0,0.123967,0.123967,0,no
0.172662,0.090909,0.014568,0.111111,0,0.243902,0.041667,0.2,0.171429,0,0.198347,0.198347,0,no
0.129496,0.090909,0.014568,0.111111,0,0.073171,0.041667,0.2,0.128571,0,0.14876,0.14876,0,no
0.057554,0.090909,0.007284,0.055556,0,0,0.083333,0.2,0.007143,0.072165,0.049587,0.033058,0,no
0.057554,0,0.007284,0.055556,0,0,0.083333,0.4,0.078571,0.030928,0.090909,0.057851,0,no
0.359712,0.181818,0.080125,0.333333,0,0.170732,0.125,0.4,0.021429,0.051546,0.033058,0.022039,1,no
0.122302,0.090909,0.021852,0.111111,0,0.04878,0.041667,0.2,0,0.072165,0.057851,0.057851,0,no
0.043165,0,0.007284,0.055556,0,0,0.041667,0.2,0.042857,0,0.049587,0.049587,0,no
0.223022,0.181818,0.03642,0.222222,0.011905,0.146341,0.041667,0.2,0.221429,0,0.256198,0.256198,0,no
0.043165,0.090909,0.007284,0.055556,0,0,0.041667,0.2,0.042857,0,0.049587,0.049587,0,no
0.043165,0.090909,0.007284,0.055556,0,0,0.083333,0.4,0.05,0.010309,0.049587,0.033058,1,no
0.05036,0.181818,0.007284,0.055556,0,0.02439,0.041667,0.2,0.05,0,0.057851,0.057851,1,no
0.100719,0.090909,0.007284,0.055556,0,0.097561,0.125,0.4,0.114286,0.020619,0.115702,0.049587,1,no
0.100719,0,0.014568,0.055556,0.011905,0.073171,0.041667,0.2,0.1,0,0.115702,0.115702,0,no
0.201439,0.090909,0.03642,0.166667,0.011905,0.097561,0.041667,0.2,0.2,0,0.231405,0.231405,0,no
0.115108,0,0.014568,0.055556,0,0.04878,0.083333,0.2,0.114286,0,0.090909,0.066116,1,no
0.100719,0.090909,0.021852,0.166667,0.02381,0.02439,0.083333,0.2,0.1,0,0.07438,0.057851,1,no
0.100719,0.090909,0.007284,0.111111,0,0.073171,0.125,0.6,0.114286,0.020619,0.115702,0.049587,1,no
0.136691,0.181818,0.021852,0.166667,0,0.097561,0.166667,0.6,0.15,0.020619,0.14876,0.047521,1,no
0.05036,0.090909,0.007284,0.055556,0,0.02439,0.041667,0.2,0.05,0,0.057851,0.057851,0,no
0.05036,0.181818,0.021852,0.055556,0.035714,0.02439,0.041667,0.2,0.05,0,0.057851,0.057851,0,no
0.05036,0.090909,0.007284,0.055556,0,0,0.041667,0.2,0.05,0,0.057851,0.057851,0,no
0.165468,0.272727,0.029136,0.111111,0,0.073171,0.125,0.4,0.164286,0,0.14876,0.063361,1,no
0.129496,0.272727,0.021852,0.166667,0,0.073171,0.083333,0.2,0.135714,0.010309,0.14876,0.082645,0,no
0.035971,0.090909,0.007284,0.055556,0,0,0.041667,0.2,0.035714,0,0.041322,0.041322,1,no
0.064748,0.090909,0.014568,0.055556,0.011905,0.02439,0.041667,0.2,0.064286,0,0.07438,0.07438,0,no
0.100719,0,0.021852,0.111111,0.011905,0.02439,0.25,0.6,0.235714,0.195876,0.206612,0.071625,1,no
0.064748,0.090909,0.014568,0.111111,0,0.04878,0.041667,0.2,0.007143,0.010309,0.016529,0.016529,0,no
0.043165,0,0.007284,0.055556,0.011905,0,0.083333,0.2,0.042857,0,0.041322,0.024793,0,no
0.143885,0,0.021852,0.111111,0.011905,0.073171,0.083333,0.2,0.142857,0,0.132231,0.082645,0,no
